,Код,Название,url,text
0,01.00.00,Физико-математические науки,p01-00-00.html,
1,02.00.00,Химические науки,p02-00-00.html,
2,03.00.00,Биологические науки,p03-00-00.html,
3,05.00.00,Технические науки,p05-00-00.html,
4,06.00.00,Сельскохозяйственные науки,p06-00-00.html,
5,07.00.00,Исторические науки и археология,p07-00-00.html,
6,08.00.00,Экономические науки,p08-00-00.html,
7,09.00.00,Философские науки,p09-00-00.html,
8,10.00.00,Филологические науки,p10-00-00.html,
9,12.00.00,Юридические науки,p12-00-00.html,
10,13.00.00,Педагогические науки,p13-00-00.html,
11,14.00.00,Медицинские науки,p14-00-00.html,
12,17.00.00,Искусствоведение,p17-00-00.html,
13,19.00.00,Психологические науки,p19-00-00.html,
14,22.00.00,Социологические науки,p22-00-00.html,
15,23.00.00,Политология,p23-00-00.html,
16,24.00.00,Культурология,p24-00-00.html,
17,25.00.00,Науки о земле,p25-00-00.html,
18,01.01.00,Математика,p01-01-00.html,
19,01.02.00,Механика,p01-02-00.html,
20,01.03.00,Астрономия,p01-03-00.html,
21,01.04.00,Физика,p01-04-00.html,
22,01.01.01,"Вещественный, комплексный и функциональный анализ",p01-01-01.html,
23,01.01.02,"Дифференциальные уравнения, динамические системы и оптимальное управление",p01-01-02.html,
24,01.01.03,Математическая физика,p01-01-03.html,
25,01.01.04,Геометрия и топология,p01-01-04.html,
26,01.01.05,Теория вероятностей и математическая статистика,p01-01-05.html,
27,01.01.06,"Математическая логика, алгебра и теория чисел",p01-01-06.html,
28,01.01.07,Вычислительная математика,p01-01-07.html,
29,01.01.09,Дискретная математика и математическая кибернетика,p01-01-09.html,
30,ВАК 01.01.01,"Вещественный, комплексный и функциональный анализ",https://teacode.com/online/vak/p01-01-01.html,"Шифр специальности:
01.01.01 Вещественный, комплексный и функциональный анализ
Формула специальности:
Специальность «Вещественный, комплексный и функциональный анализ» – раздел математики, в котором изучаются функции и их обобщения (функционалы, операторы).
Области исследований:
К специальности относятся работы, содержащие исследования по следующим направлениям.
1. Действительный анализ, в котором изучаются локальные и глобальные свойства функций действительных переменных, их представления и приближения. Действительный анализ включает в себя:
а). метрическую теорию функций, в которой на основе понятий меры и интеграла исследуются свойства функций и их производных, изучаются функциональные (в т.ч. ортогональные) ряды и их приложения;
б). теорию функциональных пространств; исследования классов функций, возникающих в математике и ее приложениях; 
в). теорию приближения функций.
Комплексный анализ, в котором изучаются аналитические функции одного и многих комплексных переменных и их свойства, аналитическое продолжение, граничные свойства аналитических функций, различные классы и пространства аналитических функций, представления аналитических функций (ряды, непрерывные дроби, интегральные представления и т. п.), вопросы приближения аналитическими функциями (многочленами, рациональными функциями, экспоненциальными многочленами и т. п.), геометрическая теория функций одного и многих комплексных переменных, конформные отображения и их обобщения (квазиконформные, биголоморфные и т. п.), краевые задачи для аналитических функций, приложения теории потенциала в комплексном анализе и комплексная теория потенциала (в т.ч. субгармонические и плюрисубгармонические функции).Функциональный анализ, в котором изучаются отображения бесконечномерных пространств (функционалы, операторы). Функциональный анализ включает в себя теорию векторных пространств, геометрию нормированных пространств, интегрирование и меры в функциональных пространствах, интегральные представления и преобразования, теорию операторов (в т.ч. теорию дифференциальных операторов), теорию возмущений операторов, теорию рассеяния, теорию банаховых алгебр, теорию представлений групп и алгебр, теорию обобщенных функций, теорию динамических систем, вариационное исчисление.
Смежные специальности:
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление
01.01.03–Математическая физика
01.01.04 – Геометрия и топология
01.01.05 – Теория вероятностей и математическая статистика
01.01.06 – Математическая логика, алгебра и теория чисел
01.01.07 – Вычислительная математика
01.01.09 – Дискретная математика и математическая кибернетика
Отрасль наук:
физико-математические науки "
